"BUDGET FISCAL YEAR","FTYP","FUNDTYPE","APPR","APPROPRIATION","Service Number","SERVICE","OBJECTGROUP","EXPENDITURE CLASSIFICATION","CURRENT BUDGET","ENCUMBRANCE","EXPENSES","ENCUMB&EXPENSE"
"2 017","GNFD","General Fund","0001CPE","Mgmt Services - Strategic Initiatives","5.13","Center for Performance Excellence","RE","Reimbursements","(313 944)","0","(12 062,5)","(12 062,5)"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU",,"NONE","RC","Capital Outlay","0","0","0","0"
"2 017","OTHO","Other Operating Fund","0195ORM","Office of Risk Management","5.P","Risk Management Services","TR","Transfers Out","129 172","0","0","0"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.4300000000000002","Street Repair Division - Asphalt","PS","Personnel Services","5 836 374","0","5 610 175,33","5 610 175,33"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.0900000000000001","Fire and Rescue Emergency Response","RE","Reimbursements","(264 000)","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","3.21","Storm Drainage Management Fund","TR","Transfers Out","6 168 022","0","0","0"
"2 017","GNFD","General Fund","0001AGE","Mgmt Services - Council Agenda","5.15","City Agenda Process","QM","Supplies & Materials","1 000","0","167,06","167,06"
"2 017","GNFD","General Fund","0001IND","Gf - Ind Audit Contract","5.4","Independent Audit","QV","Contractual & Other Services","865 200","0","0","0"
"2 016","GNFD","General Fund","0001CCO","City Controller's Office GF","5.12","Cash and Debt Management","QV","Contractual & Other Services","88 161","0","46 751,46","46 751,46"
"2 017","INSV","Internal Service Fund","0197DSV","Radio Services DSV","5.M","Internal Radio Communication","TR","Transfers Out","137 864","0","0","0"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.F","City Fleet Paint and Body Shop Coordination","TR","Transfers Out","7 900","0","0","0"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.18","City GIS Services","RC","Capital Outlay","32 000","0","0","0"
"2 017","OTHO","Other Operating Fund","0191DSV","9-1-1 System Operations","5.A","9-1-1 Technology/Education Services","TR","Transfers Out","6 205","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.19","Recycling Collection and Waste Diversion","TR","Transfers Out","277 985","0","0","0"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.22","Police Community Outreach","QM","Supplies & Materials","12 470","0","21 575,05","21 575,05"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.16","Landfill Services","TR","Transfers Out","6 734 485","0","0","0"
"2 016","GNFD","General Fund","0001MCC","Mayor and City Council GF","5.03","Administrative Support for the Mayor and City Council","QM","Supplies & Materials","93 644","0","62 765,96","62 765,96"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.41","Street Cut and Right-of-Way Management (Cut Control)","RE","Reimbursements","(455 553)","0","(385 218,96)","(385 218,96)"
"2 017","GNFD","General Fund","0001PER","Human Resources GF","5.38","HRIS and HR Payroll Services","RE","Reimbursements","0","0","172 000","172 000"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.23","Police Criminal Investigations","TR","Transfers Out","158 337","0","0","0"
"2 017","GNFD","General Fund","0001BAC","Mgmt Services - Boards and Commissions","5.09","Boards and Commissions Liaison","QM","Supplies & Materials","1 500","0","0","0"
"2 017","GNFD","General Fund","0001CVS","Civil Service GF","5.33","Fire Applicant - Physical Abilities Testing","QV","Contractual & Other Services","583","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.03","Animal Remains Collection","TR","Transfers Out","35 237","0","0","0"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.F","City Fleet Paint and Body Shop Coordination","RE","Reimbursements","(35 000)","0","0","0"
"2 017","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.3199999999999998","Planning and Design Studio","RE","Reimbursements","(199 102)","0","0","0"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.14","Economic Development Research and Information Services","RE","Reimbursements","(549 691)","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.26","DWU General Expense","PS","Personnel Services","876 946","0","0","0"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.48","Traffic Safety and Congestion Management","PS","Personnel Services","2 913 701","0","2 718 526,46","2 718 526,46"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.31","Police Special Operations","TR","Transfers Out","273 383","0","0","0"
"2 016","GNFD","General Fund","0001CVS","Civil Service GF","5.05","Applicant Processing - Civilian","PS","Personnel Services","662 829","0","645 731,63","645 731,63"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.I","Fuel Procurement and Management","TR","Transfers Out","49 516","0","0","0"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","9.99","Department Support","PS","Personnel Services","884 895","0","0","0"
"2 016","GNFD","General Fund","0001LIB","Library GF","4.08","Literacy Initiatives, Education & Community Engagement","QV","Contractual & Other Services","7 200","0","19 139,86","19 139,86"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1000000000000001","Fire Dispatch and Communications","PS","Personnel Services","7 292 906","0","7 728 868,32","7 728 868,32"
"2 017","GNFD","General Fund","0001OEQ","Mgmt Services - Environmental Quaity","3.01","Air Quality Compliance","RE","Reimbursements","(741 278)","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.52","Water Capital Funding","WN","Interest On Notes-Debt Service","10 000","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.12","Dallas Love Field","TR","Transfers Out","835 489","0","0","0"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.04","Golf and Tennis Centers","RE","Reimbursements","(357 319)","0","0","0"
"2 016","GNFD","General Fund","0001LIB","Library GF","4.0599999999999996","Library Materials & Collection Management","QM","Supplies & Materials","25 488","0","37 732,67","37 732,67"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.55","Water Utilities Customer Account Services","TR","Transfers Out","1 253 522","0","0","0"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.0099999999999998","Area Redevelopment","RE","Reimbursements","(774 334)","0","0","0"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","9.99","Department Support","QV","Contractual & Other Services","57 290","0","0","0"
"2 017","GNFD","General Fund","0001CTJ","Judiciary GF","1.04","Community Court","PS","Personnel Services","96 564","0","0","0"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.38","Rights-of-Way Maintenance Contracts and Inspections Group","RE","Reimbursements","(954 000)","0","0","0"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","2.0699999999999998","Capital Facilities","RC","Capital Outlay","326 867","0","0","0"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.27","Police Investigations of Narcotics Related Crimes","QM","Supplies & Materials","136 196","0","163 919,52","163 919,52"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","9.99","Department Support","RE","Reimbursements","(916 461)","0","0","0"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.39","Service Maintenance Areas","RC","Capital Outlay","0","0","49 745","49 745"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.4","Small Business Initiatives","TR","Transfers Out","100 000","0","0","0"
"2 017","GNFD","General Fund","0001CTJ","Judiciary GF","1.05","Court Security","QV","Contractual & Other Services","2 045","0","0","0"
"2 017","GNFD","General Fund","0001BMS","Office of Financial Services GF","5.19","Citywide Capital and Operating Budget Dev and Monitoring","QM","Supplies & Materials","3 000","0","0","0"
"2 017","GNFD","General Fund","0001CTJ","Judiciary GF","1.03","Civil Adjudication Court","QV","Contractual & Other Services","2 150","0","0","0"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.1499999999999999","Juvenile Case Managers/First Offender Program","RE","Reimbursements","(481 945)","0","0","0"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","5.45","Litigation","PS","Personnel Services","4 439 683","0","4 341 980,44","4 341 980,44"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.N","Internal Telephone and Data Communication","TR","Transfers Out","20 288","0","0","0"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.13","Economic Development Major Projects & Other Programs","RE","Reimbursements","(346 752)","0","0","0"
"2 016","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.3199999999999998","Planning and Design Studio","QV","Contractual & Other Services","438 133","0,15","589 190,67","589 190,82"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.19","Flood Control","QM","Supplies & Materials","2 663 131","1,08","2 969 513,98","2 969 515,06"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","2.2999999999999998","Operation & Maintenance of Fair Park","QV","Contractual & Other Services","4 581 655","2,54","4 229 145,79","4 229 148,33"
"2 016","GNFD","General Fund","0001LIB","Library GF","4.07","Library Operations & Public Service","QM","Supplies & Materials","1 411 894","4,16","1 548 218,46","1 548 222,62"
"2 017","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.06","Dallas City Marshal","QV","Contractual & Other Services","280 315","7,56","56 491,11","56 498,67"
"2 016","GNFD","General Fund","0001EBS","Building Services GF","3.11","Custodial Maintenance","QV","Contractual & Other Services","1 488 485","9","1 497 746,19","1 497 755,19"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.44","Street Repair Division - Concrete","QV","Contractual & Other Services","7 736 531","11","13 525 129,96","13 525 140,96"
"2 017","GNFD","General Fund","0001OFS","Non-Departmental","5.35","General Obligation Commercial Paper and Master Lease Program","QV","Contractual & Other Services","19 300 425","13,21","5 006 000,52","5 006 013,73"
"2 016","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.27","Mobility Planning","QV","Contractual & Other Services","432 604","14,4","448 286,87","448 301,27"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.39","Service Maintenance Areas","QV","Contractual & Other Services","1 867 198","15","1 918 380,84","1 918 395,84"
"2 017","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.2799999999999998","Neighborhood Vitality","QM","Supplies & Materials","4 837","20,18","3 686,08","3 706,26"
"2 017","GNFD","General Fund","0001BMS","Office of Financial Services GF","9.99","Department Support","QM","Supplies & Materials","0","22","3 865,11","3 887,11"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","9.99","Department Support","QM","Supplies & Materials","25 599","24","5 735,36","5 759,36"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.56","Street Resurfacing","QM","Supplies & Materials","4 949","27,6","75","102,6"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","1.19","Municipal Prosecution","QM","Supplies & Materials","13 700","32,75","15 289,23","15 321,98"
"2 016","GNFD","General Fund","0001BMS","Office of Financial Services GF","9.99","Department Support","QV","Contractual & Other Services","420","34,99","13 415,87","13 450,86"
"2 017","GNFD","General Fund","0001DEV","Sustainable Dev and Construction GF","2.23","Historic Preservation","QV","Contractual & Other Services","165 309","44,5","31 745,28","31 789,78"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.29","Police Operational Support","QV","Contractual & Other Services","3 261 084","50,7","1 183 692,56","1 183 743,26"
"2 017","GNFD","General Fund","0001EAD","Mgmt Services - Ethics and Diversity","5.3","Ethics and Diversity","QV","Contractual & Other Services","23 298","51,46","5 221,8","5 273,26"
"2 016","GNFD","General Fund","0001BMS","Office of Financial Services GF","5.19","Citywide Capital and Operating Budget Dev and Monitoring","QV","Contractual & Other Services","368 369","51,51","391 858,24","391 909,75"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.27","Mobility Planning","QM","Supplies & Materials","6 200","52","3 428,95","3 480,95"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.15","Engineering & Inspection Review for Private Development","QM","Supplies & Materials","12 606","53,12","8 141,64","8 194,76"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.17","Neighborhood Code Compliance Services","QM","Supplies & Materials","1 052 201","57","1 009 382,12","1 009 439,12"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.31","Pavement Management","QV","Contractual & Other Services","44 211","59,42","6 089,28","6 148,7"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.09","Park Land Maintained","QV","Contractual & Other Services","8 163 709","60","9 115 311,24","9 115 371,24"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.11","Dallas Film Commission","QM","Supplies & Materials","1 000","62,82","118,41","181,23"
